Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1994-06-16 00:00:00,1994-06-23 00:00:00,8
1994-06-25 00:00:00,1994-06-28 00:00:00,4
1994-07-06 00:00:00,1994-07-06 00:00:00,1
1994-07-14 00:00:00,1994-07-17 00:00:00,4
1994-07-19 00:00:00,1994-07-27 00:00:00,9
1994-07-29 00:00:00,1994-07-29 00:00:00,1
1994-08-02 00:00:00,1994-08-18 00:00:00,17
1994-08-20 00:00:00,1994-08-20 00:00:00,1
1994-08-23 00:00:00,1994-08-26 00:00:00,4
1994-09-03 00:00:00,1994-09-05 00:00:00,3
1994-09-07 00:00:00,1994-09-07 00:00:00,1
1994-09-09 00:00:00,1994-09-09 00:00:00,1
1994-09-12 00:00:00,1994-09-12 00:00:00,1
1994-09-15 00:00:00,1994-09-29 00:00:00,15
1994-10-04 00:00:00,1994-10-06 00:00:00,3
1994-10-09 00:00:00,1994-10-09 00:00:00,1
1994-10-11 00:00:00,1994-10-11 00:00:00,1
1994-10-27 00:00:00,1994-10-28 00:00:00,2
1994-11-04 00:00:00,1994-11-11 00:00:00,8
1994-11-13 00:00:00,1994-11-13 00:00:00,1
1994-11-26 00:00:00,1994-11-26 00:00:00,1
1994-11-28 00:00:00,1994-11-29 00:00:00,2
1994-12-14 00:00:00,1994-12-16 00:00:00,3
1994-12-20 00:00:00,1994-12-22 00:00:00,3
1994-12-28 00:00:00,1994-12-29 00:00:00,2
1995-01-13 00:00:00,1995-01-15 00:00:00,3
1995-01-18 00:00:00,1995-01-18 00:00:00,1
1995-01-25 00:00:00,1995-01-25 00:00:00,1
1995-01-27 00:00:00,1995-01-27 00:00:00,1
1995-01-31 00:00:00,1995-01-31 00:00:00,1
1995-02-02 00:00:00,1995-02-02 00:00:00,1
1995-02-08 00:00:00,1995-02-08 00:00:00,1
1995-02-10 00:00:00,1995-02-10 00:00:00,1
1995-02-22 00:00:00,1995-02-22 00:00:00,1
1995-03-04 00:00:00,1995-03-05 00:00:00,2
1995-03-14 00:00:00,1995-03-16 00:00:00,3
1995-03-22 00:00:00,1995-03-25 00:00:00,4
1995-03-31 00:00:00,1995-04-01 00:00:00,2
1995-04-08 00:00:00,1995-04-12 00:00:00,5
1995-04-19 00:00:00,1995-04-19 00:00:00,1
1995-04-24 00:00:00,1995-04-24 00:00:00,1
1995-05-06 00:00:00,1995-05-06 00:00:00,1
1995-05-20 00:00:00,1995-05-20 00:00:00,1
1995-05-23 00:00:00,1995-05-23 00:00:00,1
1995-05-27 00:00:00,1995-05-30 00:00:00,4
1995-06-11 00:00:00,1995-06-13 00:00:00,3
1995-06-18 00:00:00,1995-06-23 00:00:00,6
1995-07-02 00:00:00,1995-07-04 00:00:00,3
1995-07-11 00:00:00,1995-07-11 00:00:00,1
1995-07-13 00:00:00,1995-07-16 00:00:00,4
1995-07-18 00:00:00,1995-08-13 00:00:00,27
1995-08-21 00:00:00,1995-08-21 00:00:00,1
1995-08-23 00:00:00,1995-08-27 00:00:00,5
1995-08-31 00:00:00,1995-09-01 00:00:00,2
1995-09-07 00:00:00,1995-09-09 00:00:00,3
1995-09-12 00:00:00,1995-09-15 00:00:00,4
1995-09-26 00:00:00,1995-10-01 00:00:00,6
1995-10-05 00:00:00,1995-10-07 00:00:00,3
1995-10-10 00:00:00,1995-10-11 00:00:00,2
1995-10-14 00:00:00,1995-10-18 00:00:00,5
1995-10-20 00:00:00,1995-10-21 00:00:00,2
1995-10-29 00:00:00,1995-10-31 00:00:00,3
1995-11-03 00:00:00,1995-11-03 00:00:00,1
1995-11-14 00:00:00,1995-11-14 00:00:00,1
1995-11-24 00:00:00,1995-12-01 00:00:00,8
1995-12-05 00:00:00,1995-12-05 00:00:00,1
1995-12-08 00:00:00,1995-12-08 00:00:00,1
1995-12-10 00:00:00,1995-12-10 00:00:00,1
1995-12-14 00:00:00,1995-12-15 00:00:00,2
1995-12-20 00:00:00,1995-12-21 00:00:00,2
1995-12-30 00:00:00,1995-12-30 00:00:00,1
1996-01-13 00:00:00,1996-01-17 00:00:00,5
1996-01-22 00:00:00,1996-01-22 00:00:00,1
1996-02-09 00:00:00,1996-02-09 00:00:00,1
1996-02-11 00:00:00,1996-02-11 00:00:00,1
1996-02-18 00:00:00,1996-02-18 00:00:00,1
1996-02-21 00:00:00,1996-02-21 00:00:00,1
1996-03-14 00:00:00,1996-03-17 00:00:00,4
1996-03-19 00:00:00,1996-03-19 00:00:00,1
1996-03-22 00:00:00,1996-03-22 00:00:00,1
1996-04-01 00:00:00,1996-04-08 00:00:00,8
1996-04-11 00:00:00,1996-04-21 00:00:00,11
1996-05-12 00:00:00,1996-05-13 00:00:00,2
1996-05-23 00:00:00,1996-05-26 00:00:00,4
1996-05-28 00:00:00,1996-05-28 00:00:00,1
1996-05-30 00:00:00,1996-05-30 00:00:00,1
1996-06-07 00:00:00,1996-06-07 00:00:00,1
1996-06-13 00:00:00,1996-06-13 00:00:00,1
1996-06-18 00:00:00,1996-06-21 00:00:00,4
1996-06-25 00:00:00,1996-06-25 00:00:00,1
1996-06-28 00:00:00,1996-07-01 00:00:00,4
1996-07-03 00:00:00,1996-07-04 00:00:00,2
1996-07-09 00:00:00,1996-07-10 00:00:00,2
1996-07-15 00:00:00,1996-07-26 00:00:00,12
1996-07-30 00:00:00,1996-07-30 00:00:00,1
1996-08-02 00:00:00,1996-08-03 00:00:00,2
1996-08-05 00:00:00,1996-08-05 00:00:00,1
1996-08-09 00:00:00,1996-08-16 00:00:00,8
1996-08-21 00:00:00,1996-08-29 00:00:00,9
1996-09-04 00:00:00,1996-09-09 00:00:00,6
